; Format - name|args|return type
sceKernelSetVTimerHandler|SceUID uid, SceKernelSysClock *time, SceKernelVTimerHandler handler, void *common|int
sceKernelSetVTimerHandlerWide|SceUID uid, SceInt64 time, SceKernelVTimerHandlerWide handler, void *common|int
sceKernelSetVTimerTime|SceUID uid, SceKernelSysClock *time|int
sceKernelSetVTimerTimeWide|SceUID uid, SceInt64 time|SceInt64
sceKernelSignalSema|SceUID semaid, int signal|int
sceKernelSleepThread|void|int
sceKernelSleepThreadCB|void|int
sceKernelStartModule|SceUID modid, SceSize argsize, void *argp, int *status, SceKernelSMOption *option|int
sceKernelStartThread|SceUID thid, SceSize arglen, void *argp|int
sceKernelStartVTimer|SceUID uid|int
sceKernelStderr|void|SceUID
sceKernelStderrReopen|const char *file, int flags, SceMode mode|int
sceKernelStdin|void|SceUID
sceKernelStdout|void|SceUID
sceKernelStdoutReopen|const char *file, int flags, SceMode mode|int
sceKernelStopModule|SceUID modid, SceSize argsize, void *argp, int *status, SceKernelSMOption *option|int
sceKernelStopUnloadSelfModule|SceSize argsize, void *argp, int *status, SceKernelSMOption *option|int
sceKernelStopVTimer|SceUID uid|int
sceKernelSuspendAllUserThreads|void|int
sceKernelSuspendDispatchThread|void|int
sceKernelSuspendThread|SceUID thid|int
sceKernelSysClock2USec|SceKernelSysClock *clock, unsigned int *low, unsigned int *high|int
sceKernelSysClock2USecWide|SceInt64 clock, unsigned *low, unsigned int *high|int
sceKernelSysMemDump|void|void
sceKernelSysMemDumpBlock|void|void
sceKernelSysMemDumpTail|void|void
sceKernelTerminateDeleteThread|SceUID thid|int
sceKernelTerminateThread|SceUID thid|int
sceKernelTotalFreeMemSize|void|SceSize
sceKernelTryAllocateFpl|SceUID uid, void **data|int
sceKernelTryAllocateVpl|SceUID uid, unsigned int size, void **data|int
sceKernelTryReceiveMsgPipe|SceUID uid, void *message, unsigned int size, int unk1, void *unk2|int
sceKernelTrySendMsgPipe|SceUID uid, void *message, unsigned int size, int unk1, void *unk2|int
sceKernelUSec2SysClock|unsigned int usec, SceKernelSysClock *clock|int
sceKernelUSec2SysClockWide|unsigned int usec|SceInt64
sceKernelUnloadModule|SceUID modid|int
sceKernelUtilsMd5BlockInit|SceKernelUtilsMd5Context *ctx|int
sceKernelUtilsMd5BlockResult|SceKernelUtilsMd5Context *ctx, u8 *digest|int
sceKernelUtilsMd5BlockUpdate|SceKernelUtilsMd5Context *ctx, u8 *data, u32 size|int
sceKernelUtilsMd5Digest|u8 *data, u32 size, u8 *digest|int
sceKernelUtilsMt19937Init|SceKernelUtilsMt19937Context *ctx, u32 seed|int
sceKernelUtilsMt19937UInt|SceKernelUtilsMt19937Context *ctx|u32
sceKernelUtilsSha1BlockInit|SceKernelUtilsSha1Context *ctx|int
sceKernelUtilsSha1BlockResult|SceKernelUtilsSha1Context *ctx, u8 *digest|int
sceKernelUtilsSha1BlockUpdate|SceKernelUtilsSha1Context *ctx, u8 *data, u32 size|int
sceKernelUtilsSha1Digest|u8 *data, u32 size, u8 *digest|int
sceKernelWaitEventFlag|int evid, u32 bits, u32 wait, u32 *outBits, SceUInt *timeout|int
sceKernelWaitEventFlagCB|int evid, u32 bits, u32 wait, u32 *outBits, SceUInt *timeout|int
sceKernelWaitSema|SceUID semaid, int signal, SceUInt *timeout|int
sceKernelWaitSemaCB|SceUID semaid, int signal, SceUInt *timeout|int
sceKernelWaitThreadEnd|SceUID thid, SceUInt *timeout|int
sceKernelWaitThreadEndCB|SceUID thid, SceUInt *timeout|int
sceKernelWakeupThread|SceUID thid|int
sceMpegAtracDecode|SceMpeg* Mpeg, SceMpegAu* pAu, ScePVoid pBuffer, SceInt32 iInit|SceInt32
sceMpegAvcDecode|SceMpeg* Mpeg, SceMpegAu* pAu, SceInt32 iFrameWidth, ScePVoid pBuffer, SceInt32* iInit|SceInt32
sceMpegAvcDecodeMode|SceMpeg* Mpeg, SceMpegAvcMode* pMode|SceInt32
sceMpegAvcDecodeStop|SceMpeg* Mpeg, SceInt32 iFrameWidth, ScePVoid pBuffer, SceInt32* iStatus|SceInt32
sceMpegCreate|SceMpeg* Mpeg, ScePVoid pData, SceInt32 iSize, SceMpegRingbuffer* Ringbuffer, SceInt32 iFrameWidth, SceInt32 iUnk1, SceInt32 iUnk2|SceInt32
sceMpegDelete|SceMpeg* Mpeg|SceVoid
sceMpegFinish||SceVoid
sceMpegFlushAllStream|SceMpeg* Mpeg|SceInt32
sceMpegFreeAvcEsBuf|SceMpeg* Mpeg, ScePVoid pBuf|SceVoid
sceMpegGetAtracAu|SceMpeg* Mpeg, SceMpegStream* pStream, SceMpegAu* pAu, ScePVoid pUnk|SceInt32
sceMpegGetAvcAu|SceMpeg* Mpeg, SceMpegStream* pStream, SceMpegAu* pAu, SceInt32* iUnk|SceInt32
sceMpegInit||SceInt32
sceMpegInitAu|SceMpeg* Mpeg, ScePVoid pEsBuffer, SceMpegAu* pAu|SceInt32
sceMpegMallocAvcEsBuf|SceMpeg* Mpeg|ScePVoid
sceMpegQueryAtracEsSize|SceMpeg* Mpeg, SceInt32* iEsSize, SceInt32* iOutSize|SceInt32
sceMpegQueryMemSize|int iUnk|SceInt32
sceMpegQueryStreamOffset|SceMpeg* Mpeg, ScePVoid pBuffer, SceInt32* iOffset|SceInt32
sceMpegQueryStreamSize|ScePVoid pBuffer, SceInt32* iSize|SceInt32
sceMpegRegistStream|SceMpeg* Mpeg, SceInt32 iStreamID, SceInt32 iUnk|SceMpegStream*
sceMpegRingbufferAvailableSize|SceMpegRingbuffer* Ringbuffer|SceInt32
sceMpegRingbufferConstruct|SceMpegRingbuffer* Ringbuffer, SceInt32 iPackets, ScePVoid pData, SceInt32 iSize, sceMpegRingbufferCB Callback, ScePVoid pCBparam|SceInt32
sceMpegRingbufferDestruct|SceMpegRingbuffer* Ringbuffer|SceVoid
sceMpegRingbufferPut|SceMpegRingbuffer* Ringbuffer, SceInt32 iNumPackets, SceInt32 iAvailable|SceInt32
sceMpegRingbufferQueryMemSize|SceInt32 iPackets|SceInt32
sceMpegUnRegistStream|SceMpeg Mpeg, SceMpegStream* pStream|SceVoid
sceNandGetPageSize|void|int
sceNandGetPagesPerBlock|void|int
sceNandGetTotalBlocks|void|int
sceNandIsBadBlock|u32 ppn|int
sceNandLock|int writeFlag|int
sceNandReadBlockWithRetry|u32 ppn, void *buf, void *buf2|int
sceNandReadId|void *buf, SceSize size|int
sceNandReadPages|u32 ppn, void *buf, void *buf2, u32 count|int
sceNandReadStatus|void|int
sceNandReset|int flag|int
sceNandSetWriteProtect|int protectFlag|int
sceNandUnlock|void|void
sceNetAdhocGetPdpStat|int *size, pdpStatStruct *stat|int
sceNetAdhocInit|void|int
sceNetAdhocMatchingCancelTarget|int matchingId, char *mac|int
sceNetAdhocMatchingCreate|int unk1, int unk2, int port, int unk4, int unk5, int unk6, int unk7, int unk8, MatchingCallback callback|int
sceNetAdhocMatchingDelete|int matchingId|int
sceNetAdhocMatchingInit|int unk1|int
sceNetAdhocMatchingSelectTarget|int matchingId, char *mac, int unk3, int unk4|int
sceNetAdhocMatchingStart|int matchingId, int unk1, int unk2, int unk3, int unk4, int usrDataSize, char *usrData|int
sceNetAdhocMatchingStop|int matchingId|int
sceNetAdhocMatchingTerm|void|int
sceNetAdhocPdpCreate|char *mac, int port, unsigned int unk2, int unk3|int
sceNetAdhocPdpDelete|int id, int unk1|int
sceNetAdhocPdpRecv|int id, char *srcMacAddr, int *port, void *data, void *dataLength, int unk6, int unk7|int
sceNetAdhocPdpSend|int id, char *destMacAddr, int16 port, void *data, unsigned int len, int unk6, int unk7|int
sceNetAdhocTerm|void|int
sceNetAdhocctlConnect|int *unk1|int
sceNetAdhocctlDisconnect|void|int
sceNetAdhocctlGetState|int *event|int
sceNetAdhocctlInit|int unk1, int unk2, struct productStruct *product|int
sceNetAdhocctlTerm|void|int
sceNetApctlConnect|int connIndex|int
sceNetApctlDisconnect|void|int
sceNetApctlGetInfo|int code, void *pInfo|int
sceNetApctlGetState|int *pState|int
sceNetApctlInit|int stackSize, int initPriority|int
sceNetApctlTerm|void|int
sceNetEtherNtostr|unsigned char *mac, char *name|int
sceNetInetAccept||int
sceNetInetBind||int
sceNetInetClose|int s|int
sceNetInetConnect||int
sceNetInetGetErrno|void|int
sceNetInetGetsockopt||int
sceNetInetInit|void|int
sceNetInetListen||int
sceNetInetRecv||size_t
sceNetInetRecvfrom||size_t
sceNetInetSend||size_t
sceNetInetSendto||size_t
sceNetInetSetsockopt||int
sceNetInetShutdown||int
sceNetInetSocket||int
sceNetInetTerm|void|int
sceNetInit|int unk1, int unk2, int unk3, int unk4, int unk5|int
sceNetResolverCreate|int *rid, void *buf, SceSize buflen|int
sceNetResolverDelete|int rid|int
sceNetResolverInit|void|int
sceNetResolverStartAtoN|int rid, const struct in_addr* addr, char *hostname, SceSize hostname_len, unsigned int timeout, int retry|int
sceNetResolverStartNtoA|int rid, const char *hostname, struct in_addr* addr, unsigned int timeout, int retry|int
sceNetResolverStop|int rid|int
sceNetResolverTerm|void|int
sceNetTerm|void|int
scePowerGetBatteryChargingStatus|void|int
scePowerGetBatteryElec|void|int
scePowerGetBatteryLifePercent|void|int
scePowerGetBatteryLifeTime|void|int
scePowerGetBatteryTemp|void|int
scePowerGetBatteryVolt|void|int
scePowerGetBusClockFrequency|void|int
scePowerGetBusClockFrequencyFloat|void|float
scePowerGetBusClockFrequencyInt|void|int
scePowerGetCpuClockFrequency|void|int
scePowerGetCpuClockFrequencyFloat|void|float
scePowerGetCpuClockFrequencyInt|void|int
scePowerGetIdleTimer|void|int
scePowerIdleTimerDisable|int unknown|int
scePowerIdleTimerEnable|int unknown|int
scePowerIsBatteryCharging|void|int
scePowerIsBatteryExist|void|int
scePowerIsLowBattery|void|int
scePowerIsPowerOnline|void|int
scePowerLock|int unknown|int
scePowerRegisterCallback|int slot, SceUID cbid|int
scePowerRequestStandby|void|int
scePowerRequestSuspend|void|int
scePowerSetBusClockFrequency|int busfreq|int
scePowerSetClockFrequency|int cpufreq, int ramfreq, int busfreq|int
scePowerSetCpuClockFrequency|int cpufreq|int
scePowerTick|int unknown|int
scePowerUnlock|int unknown|int
sceRegCloseRegistry|REGHANDLE h|int
sceRegCreateKey|REGHANDLE hd, const char *name, int type, SceSize size|int
sceRegFlushRegistry|REGHANDLE h|int
sceRegGetKeyInfo|REGHANDLE hd, const char *name, REGHANDLE *hk, unsigned int *type, SceSize *size|int
sceRegGetKeyInfoByName|REGHANDLE hd, const char *name, unsigned int *type, SceSize *size|int
sceRegGetKeyValue|REGHANDLE hd, REGHANDLE hk, void *buf, SceSize size|int
sceRegGetKeyValueByName|REGHANDLE hd, const char *name, void *buf, SceSize size|int
sceRegGetKeys|REGHANDLE hd, char *buf, int num|int
sceRegGetKeysNum|REGHANDLE hd, int *num|int
sceRegOpenRegistry|struct RegParam *reg, int mode, REGHANDLE *h|int
sceRegRemoveRegistry|struct RegParam *reg|int
